,Movie Title,Movie URL,Release Year,Rank,Ratings,Votes
127,Ran,https://www.imdb.com/title/tt0089881/,1985-01-01,128,8.2,122051
128,Yojimbo,https://www.imdb.com/title/tt0055630/,1961-01-01,129,8.2,119699
129,Die Hard,https://www.imdb.com/title/tt0095016/,1988-01-01,130,8.2,849415
130,Green Book,https://www.imdb.com/title/tt6966692/,2018-01-01,131,8.2,451663
131,Rashomon,https://www.imdb.com/title/tt0042876/,1950-01-01,132,8.2,163748
132,Downfall,https://www.imdb.com/title/tt0363163/,2004-01-01,133,8.2,347363
133,All About Eve,https://www.imdb.com/title/tt0042192/,1950-01-01,134,8.2,128356
134,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/,1975-01-01,135,8.2,526952
135,Some Like It Hot,https://www.imdb.com/title/tt0053291/,1959-01-01,136,8.2,259663
136,Batman Begins,https://www.imdb.com/title/tt0372784/,2005-01-01,137,8.2,1394347
137,Unforgiven,https://www.imdb.com/title/tt0105695/,1992-01-01,138,8.2,400002
138,Jai Bhim,https://www.imdb.com/title/tt15097216/,2021-01-01,139,9.3,175061
139,Children of Heaven,https://www.imdb.com/title/tt0118849/,1997-01-01,140,8.3,72601
140,Howl's Moving Castle,https://www.imdb.com/title/tt0347149/,2004-01-01,141,8.2,372025
141,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,2013-01-01,142,8.2,1316704
142,Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/,1961-01-01,143,8.2,75316
143,There Will Be Blood,https://www.imdb.com/title/tt0469494/,2007-01-01,144,8.2,561442
144,Casino,https://www.imdb.com/title/tt0112641/,1995-01-01,145,8.2,500159
145,The Great Escape,https://www.imdb.com/title/tt0057115/,1963-01-01,146,8.2,238687
146,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,1948-01-01,147,8.2,121997
147,Pan's Labyrinth,https://www.imdb.com/title/tt0457430/,2006-01-01,148,8.2,650447
148,A Beautiful Mind,https://www.imdb.com/title/tt0268978/,2001-01-01,149,8.2,900693
149,The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/,2009-01-01,150,8.2,204680
150,Raging Bull,https://www.imdb.com/title/tt0081398/,1980-01-01,151,8.2,342528
151,Chinatown,https://www.imdb.com/title/tt0071315/,1974-01-01,152,8.2,316088
152,My Neighbor Totoro,https://www.imdb.com/title/tt0096283/,1988-01-01,153,8.2,322017
153,Shutter Island,https://www.imdb.com/title/tt1130884/,2010-01-01,154,8.2,1238025
154,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,1998-01-01,155,8.2,566203
155,No Country for Old Men,https://www.imdb.com/title/tt0477348/,2007-01-01,156,8.1,928422
156,Klaus,https://www.imdb.com/title/tt4729430/,2019-01-01,157,8.2,138541
157,Dial M for Murder,https://www.imdb.com/title/tt0046912/,1954-01-01,158,8.2,170602
158,The Thing,https://www.imdb.com/title/tt0084787/,1982-01-01,159,8.1,404164
159,The Gold Rush,https://www.imdb.com/title/tt0015864/,1925-01-01,160,8.2,108683
160,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,2017-01-01,161,8.1,482648
161,The Seventh Seal,https://www.imdb.com/title/tt0050976/,1957-01-01,162,8.2,179828
162,The Elephant Man,https://www.imdb.com/title/tt0080678/,1980-01-01,163,8.1,234796
163,The Sixth Sense,https://www.imdb.com/title/tt0167404/,1999-01-01,164,8.1,959683
164,Jurassic Park,https://www.imdb.com/title/tt0107290/,1993-01-01,165,8.1,933501
165,The Truman Show,https://www.imdb.com/title/tt0120382/,1998-01-01,166,8.1,1019952
166,Dersu Uzala,https://www.imdb.com/title/tt0071411/,1975-01-01,167,8.3,27381
167,Wild Strawberries,https://www.imdb.com/title/tt0050986/,1957-01-01,168,8.2,104558
168,The Third Man,https://www.imdb.com/title/tt0041959/,1949-01-01,169,8.1,168176
169,Memories of Murder,https://www.imdb.com/title/tt0353969/,2003-01-01,170,8.1,168206
170,V for Vendetta,https://www.imdb.com/title/tt0434409/,2005-01-01,171,8.1,1088829
171,Blade Runner,https://www.imdb.com/title/tt0083658/,1982-01-01,172,8.1,740714
172,Trainspotting,https://www.imdb.com/title/tt0117951/,1996-01-01,173,8.1,667865
173,Fargo,https://www.imdb.com/title/tt0116282/,1996-01-01,174,8.1,657402
174,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,1957-01-01,175,8.1,215199
